Word,Lemma
स्टेट-बैङ्क-ऑफ-हैदराबाद,स्टेट-बैङ्क-ऑफ-हैदराबाद
स्टेट-बैङ्क-ऑफ-इन्दौर,स्टेट-बैङ्क-ऑफ-इन्दौर
स्टेट-बैंक-ऑफ-मैसूर,स्टेट-बैंक-ऑफ-मैसूर
बाह्यकम्,बाह्यकम्
सम्मूर्छा,सम्मूर्छा
स्टेट-बैङ्क-ऑफ-पटियाला,स्टेट-बैङ्क-ऑफ-पटियाला
इच्छामृत्युः,इच्छामृत्युः
दयामृत्युः,इच्छामृत्युः
मार्फतम्,मार्फतम्
मारफतम्,मार्फतम्
प्रियतम,प्रियतम
पक्षकारः,पक्षकारः
सङ्कलित,सङ्कलित
चलनिधिः,चलनिधिः
अर्थदण्डः,अर्थदण्डः
दण्डः,दण्डः
प्राथमिकता,प्राथमिकता
वरीयता,प्राथमिकता
अनिश्चितकालीन,अनिश्चितकालीन
न्यू-बोङ्गाईगावमण्डलम्,न्यू-बोङ्गाईगावमण्डलम्
नन्दीग्रामण्डलम्,नन्दीग्रामण्डलम्
चेलिङ्घममण्डलम्,चेलिङ्घममण्डलम्
पुनर्विचारः,पुनर्विचारः
प्रलोभक,प्रलोभक
हमबन्टोटामण्डलम्,हमबन्टोटामण्डलम्
हमबन्टोटानगरम्,हमबन्टोटानगरम्
हमबन्टोटा-नौकास्थानम्,हमबन्टोटा-नौकास्थानम्
हमबन्टोटा,हमबन्टोटा-नौकास्थानम्
सरबियादेशीय,सरबियादेशीय
साधनम्,साधनम्
भारतीयदण्डसंहिता,भारतीयदण्डसंहिता
विद्यावाचस्पतिः,विद्यावाचस्पतिः
मार्फत,मार्फत
मारफतम्,मार्फत
गृहनिर्माणराज्यमन्त्री,गृहनिर्माणराज्यमन्त्री
जालम्,जालम्
नगर-विकास-विभागः,नगर-विकास-विभागः
एपल-उद्योगसंस्था,एपल-उद्योगसंस्था
किरकुकनगरम्,किरकुकनगरम्
बलप्रयोगः,बलप्रयोगः
लुबॉकनगरम्,लुबॉकनगरम्
अङ्कशास्त्रम्,अङ्कशास्त्रम्
परमपदम्,परमपदम्
अग्रगण्य,अग्रगण्य
सारथ्यम्,सारथ्यम्
अम्बादेवी,अम्बादेवी
,
स्वास्थ्यलाभः,स्वास्थ्यलाभः
रक्तशर्करा,रक्तशर्करा
चित्रणम्,चित्रणम्
टप्पागानम्,टप्पागानम्
,
आईपैड,आईपैड
कारागृहकर्मी,कारागृहकर्मी
मोसुलनगरम्,मोसुलनगरम्
मोसूलनगरम्,मोसुलनगरम्
अनशनम्,अनशनम्
वाणिज्यदूतावासः,वाणिज्यदूतावासः
वाणिज्यदूतावासः,वाणिज्यदूतावासः
वाणिज्यदूतः,वाणिज्यदूतः
राज्यमन्त्री,राज्यमन्त्री
उद्योगमन्त्री,उद्योगमन्त्री
गृहराज्यमन्त्री,गृहराज्यमन्त्री
कुटुम्बः,कुटुम्बः
कुटुम्बम्,कुटुम्बः
परिवारः,परिवारः
निरोधनम्,निरोधनम्
प्रतिबन्धनम्,निरोधनम्
तालिबानीय,तालिबानीय
विश्वस्तरीय,विश्वस्तरीय
क्रान्तिः,क्रान्तिः
क्रान्तिवलयः,क्रान्तिः
नक्षत्रम्,नक्षत्रम्
अभ्यासकः,अभ्यासकः
अपररात्रः,अपररात्रः
अमान्तः,अपररात्रः
धूपनम्,धूपनम्
चान्दीपुरम्,चान्दीपुरम्
चान्दीपुरतटम्,चान्दीपुरम्
व्हीलरद्वीपः,व्हीलरद्वीपः
प्रारम्भिक-सार्वजनिक-निर्गमम्,प्रारम्भिक-सार्वजनिक-निर्गमम्
अनुवर्तिसार्वजनिकनिर्गमः,अनुवर्तिसार्वजनिकनिर्गमः
मलकानगिरीमण्डलम्,मलकानगिरीमण्डलम्
विकासात्मकम्,विकासात्मकम्
लुकासफिल्म-लिमिटेड-उद्योगसंस्था,लुकासफिल्म-लिमिटेड-उद्योगसंस्था
सौरविद्युत्पेटिका,सौरविद्युत्पेटिका
कोशपेटकः,कोशपेटकः
कोशपेटकम्,कोशपेटकः
रिक्तस्थानम्,रिक्तस्थानम्
हृदयाघातः,हृदयाघातः
हृद्ग्रहः,हृदयाघातः
बेनगाजीनगरम्,बेनगाजीनगरम्
सदृश,सदृश
बीईदानगरम्,बीईदानगरम्
रणनैतिक,रणनैतिक
प्रश्नात्मक,प्रश्नात्मक
प्रश्नार्थक,प्रश्नात्मक
तोबरूकनगरम्,तोबरूकनगरम्
आत्मरक्षा,आत्मरक्षा
स्वरक्षा,आत्मरक्षा
संस्करणम्,संस्करणम्
संस्करण,संस्करण
त्रिभुजप्रदेशः,त्रिभुजप्रदेशः
डेल्टा,डेल्टा
संयुक्त-उद्यमः,संयुक्त-उद्यमः
नीलत्रिभुजप्रदेशः,नीलत्रिभुजप्रदेशः
अशोकस्तम्भः,अशोकस्तम्भः
केन्द्रीयसाङ्ख्यिकीसङ्घटनम्,केन्द्रीयसाङ्ख्यिकीसङ्घटनम्
